date,transaction_count,total_revenue,total_quantity,company,dayofweek,month,year,is_weekend
2024-06-24,218,1595.95,458.0,forge,0,6,2024,0
2024-06-25,189,1404.53,397.0,forge,1,6,2024,0
2024-06-26,200,1846.96,527.0,forge,2,6,2024,0
2024-06-27,214,1932.52,557.0,forge,3,6,2024,0
2024-06-28,252,2086.04,605.0,forge,4,6,2024,0
2024-06-29,379,3067.96,881.0,forge,5,6,2024,1
2024-06-30,316,2815.3,827.0,forge,6,6,2024,1
2024-07-01,206,1740.38,500.0,forge,0,7,2024,0
2024-07-02,202,1808.96,525.0,forge,1,7,2024,0
2024-07-03,211,1727.73,505.0,forge,2,7,2024,0
2024-07-04,263,2105.65,614.0,forge,3,7,2024,0
2024-07-05,299,2208.72,628.0,forge,4,7,2024,0
2024-07-06,409,3445.51,984.0,forge,5,7,2024,1
2024-07-07,231,2024.99,597.0,forge,6,7,2024,1
2024-07-08,201,1771.97,520.0,forge,0,7,2024,0
2024-07-09,206,1547.8600000000001,449.0,forge,1,7,2024,0
2024-07-10,225,1758.85,522.0,forge,2,7,2024,0
2024-07-11,226,1702.1299999999999,502.0,forge,3,7,2024,0
2024-07-12,287,2071.7,611.0,forge,4,7,2024,0
2024-07-13,399,3129.34,882.0,forge,5,7,2024,1
2024-07-14,442,3458.04,1012.0,forge,6,7,2024,1
2024-07-15,196,1730.98,504.0,forge,0,7,2024,0
2024-07-16,222,1479.94,421.0,forge,1,7,2024,0
2024-07-17,369,2206.48,640.0,forge,2,7,2024,0
2024-07-18,249,1782.25,519.0,forge,3,7,2024,0
2024-07-19,222,1949.68,568.0,forge,4,7,2024,0
2024-07-20,272,2083.83,615.0,forge,5,7,2024,1
2024-07-21,423,3244.66,944.0,forge,6,7,2024,1
2024-07-22,184,1542.0,444.0,forge,0,7,2024,0
2024-07-23,205,1517.8600000000001,432.0,forge,1,7,2024,0
2024-07-24,203,1562.14,450.0,forge,2,7,2024,0
2024-07-25,212,1902.3,555.0,forge,3,7,2024,0
2024-07-26,262,2050.36,583.0,forge,4,7,2024,0
2024-07-27,302,2328.4,657.0,forge,5,7,2024,1
2024-07-28,287,2646.2200000000003,775.0,forge,6,7,2024,1
2024-07-29,209,1750.42,491.0,forge,0,7,2024,0
2024-07-30,202,1581.81,451.0,forge,1,7,2024,0
2024-07-31,191,1671.0,471.0,forge,2,7,2024,0
2024-08-01,212,1806.79,515.0,forge,3,8,2024,0
2024-08-02,225,1930.03,547.0,forge,4,8,2024,0
2024-08-03,267,2500.64,714.0,forge,5,8,2024,1
2024-08-04,230,1989.13,591.0,forge,6,8,2024,1
2024-08-05,214,1669.54,482.0,forge,0,8,2024,0
2024-08-06,205,1712.57,491.0,forge,1,8,2024,0
2024-08-07,126,1394.21,401.0,forge,2,8,2024,0
2024-08-08,191,1604.47,472.0,forge,3,8,2024,0
2024-08-09,268,2142.3,628.0,forge,4,8,2024,0
2024-08-10,390,3372.36,987.0,forge,5,8,2024,1
2024-08-11,322,2614.03,767.0,forge,6,8,2024,1
2024-08-12,193,1641.39,475.0,forge,0,8,2024,0
2024-08-13,194,1621.6200000000001,459.0,forge,1,8,2024,0
2024-08-14,202,1724.3,507.0,forge,2,8,2024,0
2024-08-15,213,1603.28,463.0,forge,3,8,2024,0
2024-08-16,244,1949.75,563.0,forge,4,8,2024,0
2024-08-17,269,2450.43,711.0,forge,5,8,2024,1
2024-08-18,254,2101.45,625.0,forge,6,8,2024,1
2024-08-19,190,1563.45,452.0,forge,0,8,2024,0
2024-08-20,198,1681.1399999999999,488.0,forge,1,8,2024,0
2024-08-21,205,1449.24,434.0,forge,2,8,2024,0
2024-08-22,203,1660.85,480.0,forge,3,8,2024,0
2024-08-23,246,1839.74,543.0,forge,4,8,2024,0
2024-08-24,284,2439.56,713.0,forge,5,8,2024,1
2024-08-25,211,1881.8799999999999,556.0,forge,6,8,2024,1
2024-08-26,305,2334.36,689.0,forge,0,8,2024,0
2024-08-27,204,1482.3,425.0,forge,1,8,2024,0
2024-08-28,152,1530.19,444.0,forge,2,8,2024,0
2024-08-29,216,1669.3899999999999,491.0,forge,3,8,2024,0
2024-08-30,215,1877.42,544.0,forge,4,8,2024,0
2024-08-31,353,3237.32,954.0,forge,5,8,2024,1
2024-09-01,234,2440.99,700.0,forge,6,9,2024,1
2024-09-02,185,1641.35,473.0,forge,0,9,2024,0
2024-09-03,195,1756.8,524.0,forge,1,9,2024,0
2024-09-04,199,1455.63,425.0,forge,2,9,2024,0
2024-09-05,203,1664.09,495.0,forge,3,9,2024,0
2024-09-06,257,1984.25,576.0,forge,4,9,2024,0
2024-09-07,285,2535.89,735.0,forge,5,9,2024,1
2024-09-08,190,2066.35,608.0,forge,6,9,2024,1
2024-09-09,182,1687.1100000000001,482.0,forge,0,9,2024,0
2024-09-10,180,1591.36,452.0,forge,1,9,2024,0
2024-09-11,182,1528.17,448.0,forge,2,9,2024,0
2024-09-12,200,1600.44,481.0,forge,3,9,2024,0
2024-09-13,245,1979.5,567.0,forge,4,9,2024,0
2024-09-14,393,3195.19,913.0,forge,5,9,2024,1
2024-09-15,313,2505.43,728.0,forge,6,9,2024,1
2024-09-16,202,1875.02,537.0,forge,0,9,2024,0
2024-09-17,199,1715.56,501.0,forge,1,9,2024,0
2024-09-18,199,1571.76,447.0,forge,2,9,2024,0
2024-09-19,191,1646.21,474.0,forge,3,9,2024,0
2024-09-20,243,2015.47,570.0,forge,4,9,2024,0
2024-09-21,495,3969.88,1146.0,forge,5,9,2024,1
2024-09-22,277,2871.86,807.0,forge,6,9,2024,1
2024-09-23,216,1705.74,476.0,forge,0,9,2024,0
2024-09-24,184,1534.2,451.0,forge,1,9,2024,0
2024-09-25,189,1545.0,425.0,forge,2,9,2024,0
2024-09-26,217,1715.14,478.0,forge,3,9,2024,0
2024-09-27,242,2094.67,547.0,forge,4,9,2024,0
2024-09-28,403,3346.43,904.0,forge,5,9,2024,1
2024-09-29,361,2992.55,849.0,forge,6,9,2024,1
2024-09-30,186,1830.13,493.0,forge,0,9,2024,0
2024-10-01,187,1623.2,459.0,forge,1,10,2024,0
2024-10-02,221,1611.85,440.0,forge,2,10,2024,0
2024-10-03,193,1517.92,427.0,forge,3,10,2024,0
2024-10-04,266,2223.08,614.0,forge,4,10,2024,0
2024-10-05,455,3806.76,1037.0,forge,5,10,2024,1
2024-10-06,230,2110.42,624.0,forge,6,10,2024,1
2024-10-07,203,1744.86,469.0,forge,0,10,2024,0
2024-10-08,174,1408.22,395.0,forge,1,10,2024,0
2024-10-09,188,1486.24,412.0,forge,2,10,2024,0
2024-10-10,205,1609.65,433.0,forge,3,10,2024,0
2024-10-11,233,2048.35,563.0,forge,4,10,2024,0
2024-10-12,339,2747.66,763.0,forge,5,10,2024,1
2024-10-13,264,2130.74,611.0,forge,6,10,2024,1
2024-10-14,205,1594.38,429.0,forge,0,10,2024,0
2024-10-15,209,1752.59,495.0,forge,1,10,2024,0
2024-10-16,179,1493.45,413.0,forge,2,10,2024,0
2024-10-17,225,1853.38,509.0,forge,3,10,2024,0
2024-10-18,270,1991.67,566.0,forge,4,10,2024,0
2024-10-19,297,2985.54,834.0,forge,5,10,2024,1
2024-10-20,228,2073.37,603.0,forge,6,10,2024,1
2024-10-21,239,2307.85,642.0,forge,0,10,2024,0
2024-10-22,197,1640.49,461.0,forge,1,10,2024,0
2024-10-23,201,1608.94,442.0,forge,2,10,2024,0
2024-10-24,215,1700.64,474.0,forge,3,10,2024,0
2024-10-25,252,1926.12,548.0,forge,4,10,2024,0
2024-10-26,323,2871.67,796.0,forge,5,10,2024,1
2024-10-27,341,2850.43,816.0,forge,6,10,2024,1
2024-10-28,186,1414.47,398.0,forge,0,10,2024,0
2024-10-29,206,1664.71,460.0,forge,1,10,2024,0
2024-10-30,227,1641.23,465.0,forge,2,10,2024,0
2024-10-31,219,1738.03,461.0,forge,3,10,2024,0
2024-11-01,231,1984.62,535.0,forge,4,11,2024,0
2024-11-02,298,2696.39,768.0,forge,5,11,2024,1
2024-11-03,247,2330.27,663.0,forge,6,11,2024,1
2024-11-04,194,1529.89,418.0,forge,0,11,2024,0
2024-11-05,192,1673.93,475.0,forge,1,11,2024,0
2024-11-06,188,1491.33,415.0,forge,2,11,2024,0
2024-11-07,219,1709.21,477.0,forge,3,11,2024,0
2024-11-08,252,1967.91,539.0,forge,4,11,2024,0
2024-11-09,298,2564.74,724.0,forge,5,11,2024,1
2024-11-10,261,2455.29,693.0,forge,6,11,2024,1
2024-11-11,173,1506.84,404.0,forge,0,11,2024,0
2024-11-12,210,1631.84,455.0,forge,1,11,2024,0
2024-11-13,214,1664.09,468.0,forge,2,11,2024,0
2024-11-14,230,1782.48,500.0,forge,3,11,2024,0
2024-11-15,236,1763.96,493.0,forge,4,11,2024,0
2024-11-16,292,2710.58,768.0,forge,5,11,2024,1
2024-11-17,367,3025.67,852.0,forge,6,11,2024,1
2024-11-18,178,1376.8600000000001,370.0,forge,0,11,2024,0
2024-11-19,181,1401.22,400.0,forge,1,11,2024,0
2024-11-20,175,1541.27,443.0,forge,2,11,2024,0
2024-11-21,205,1595.2,441.0,forge,3,11,2024,0
2024-11-22,228,1872.34,515.0,forge,4,11,2024,0
2024-11-23,275,2624.86,734.0,forge,5,11,2024,1
2024-11-24,255,2828.2799999999997,834.0,forge,6,11,2024,1
2024-11-25,173,1463.03,401.0,forge,0,11,2024,0
2024-11-26,193,1556.66,447.0,forge,1,11,2024,0
2024-11-27,186,1505.79,410.0,forge,2,11,2024,0
2024-11-28,198,1472.58,414.0,forge,3,11,2024,0
2024-11-29,317,2395.11,669.0,forge,4,11,2024,0
2024-11-30,429,3669.91,1037.0,forge,5,11,2024,1
2024-12-01,235,2269.58,633.0,forge,6,12,2024,1
2024-12-02,195,1343.27,376.0,forge,0,12,2024,0
2024-12-03,183,1313.29,374.0,forge,1,12,2024,0
2024-12-04,208,1536.23,417.0,forge,2,12,2024,0
2024-12-05,208,1504.69,406.0,forge,3,12,2024,0
2024-12-06,255,2042.86,575.0,forge,4,12,2024,0
2024-12-07,330,3212.78,880.0,forge,5,12,2024,1
2024-12-08,395,3861.75,1048.0,forge,6,12,2024,1
2024-12-09,185,1412.91,394.0,forge,0,12,2024,0
2024-12-10,191,1514.75,412.0,forge,1,12,2024,0
2024-12-11,180,1571.91,434.0,forge,2,12,2024,0
